sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-14T02:52:19Z	10741,93467	8	10	8
2026-05-14T02:52:24Z	10761,93467	8	10	8
2026-05-14T02:52:29Z	10783,93467	8	10	8
2026-05-14T02:52:34Z	10906,93467	8	10	8
2026-05-14T02:52:39Z	11074,93467	8	10	8
2026-05-14T02:52:44Z	11088,93467	8	10	8
2026-05-14T02:52:49Z	11255,93467	8	10	8
2026-05-14T02:52:54Z	11358,93467	8	10	8
2026-05-14T02:53:00Z	11372,93467	8	10	8
2026-05-14T02:53:05Z	11395,93467	8	10	8
2026-05-14T02:53:10Z	11425,93467	8	10	8
2026-05-14T02:53:15Z	11450,93467	8	10	8
2026-05-14T02:53:20Z	11496,93467	8	10	8
2026-05-14T02:53:25Z	11553,93467	8	10	8
2026-05-14T02:53:30Z	11746,93467	8	10	8
2026-05-14T02:53:36Z	11771,93467	8	10	8
2026-05-14T02:53:41Z	11787,93467	8	10	8
2026-05-14T02:53:46Z	11807,93467	8	10	8
2026-05-14T02:53:51Z	11832,93467	8	10	8
2026-05-14T02:53:56Z	11848,93467	9	10	8
2026-05-14T02:54:01Z	11873,93467	9	10	8
2026-05-14T02:54:06Z	11927,93467	9	10	8
2026-05-14T02:54:11Z	11977,93467	9	10	8
2026-05-14T02:54:17Z	11992,93467	9	10	8
2026-05-14T02:54:22Z	12014,93467	8	10	8
2026-05-14T02:54:27Z	12084,93467	8	10	8
2026-05-14T02:54:32Z	12133,93467	8	10	8
2026-05-14T02:54:37Z	12161,93467	8	10	8
2026-05-14T02:54:42Z	12184,93467	8	10	8
2026-05-14T02:54:47Z	12198,93467	9	10	8
2026-05-14T02:54:52Z	12223,93467	9	10	8
2026-05-14T02:54:58Z	12254,93467	9	10	8
2026-05-14T02:55:03Z	12280,93467	9	10	8
2026-05-14T02:55:08Z	12299,93467	8	10	8
2026-05-14T02:55:13Z	12316,93467	8	10	8
2026-05-14T02:55:18Z	12341,93467	9	10	8
2026-05-14T02:55:23Z	12356,93467	9	10	8
2026-05-14T02:55:28Z	12381,93467	9	10	8
2026-05-14T02:55:33Z	12399,93467	8	10	8
2026-05-14T02:55:38Z	12429,93467	8	10	8
2026-05-14T02:55:43Z	12445,93467	8	10	8
2026-05-14T02:55:48Z	12459,93467	8	10	8
2026-05-14T02:55:54Z	12474,93467	8	10	8
2026-05-14T02:55:59Z	12487,93467	8	10	8
2026-05-14T02:56:04Z	12503,93467	8	10	8
2026-05-14T02:56:09Z	12522,93467	9	10	8
2026-05-14T02:56:14Z	12536,93467	9	10	8
2026-05-14T02:56:19Z	12551,93467	9	10	8
2026-05-14T02:56:24Z	12564,93467	9	10	8
2026-05-14T02:56:29Z	12608,93467	9	10	8
2026-05-14T02:56:34Z	12622,93467	9	10	8
2026-05-14T02:56:39Z	12749,93467	9	10	8
2026-05-14T02:56:44Z	12800,93467	9	10	8
2026-05-14T02:56:49Z	12818,93467	8	10	8
2026-05-14T02:56:55Z	12853,93467	8	10	8
2026-05-14T02:57:00Z	12918,93467	8	10	8
2026-05-14T02:57:05Z	13140,93467	8	10	8
2026-05-14T02:57:10Z	13306,93467	8	10	8
2026-05-14T02:57:15Z	13452,93467	8	10	8
2026-05-14T02:57:20Z	13469,93467	8	10	8
2026-05-14T02:57:25Z	13487,93467	8	10	8
2026-05-14T02:57:30Z	13548,93467	8	10	8
2026-05-14T02:57:35Z	13586,93467	9	10	8
2026-05-14T02:57:40Z	13628,93467	9	10	8
2026-05-14T02:57:45Z	13641,93467	9	10	8
2026-05-14T02:57:50Z	13671,93467	9	10	8
2026-05-14T02:57:55Z	13687,93467	9	10	8
2026-05-14T02:58:00Z	13701,93467	9	10	8
2026-05-14T02:58:05Z	13723,93467	8	10	8
2026-05-14T02:58:11Z	13743,93467	8	10	8
2026-05-14T02:58:16Z	13762,93467	8	10	8
2026-05-14T02:58:21Z	13843,93467	8	10	8
2026-05-14T02:58:26Z	13858,93467	9	10	8
2026-05-14T02:58:31Z	13884,93467	9	10	8
2026-05-14T02:58:36Z	13902,93467	9	10	8
2026-05-14T02:58:41Z	13926,93467	9	10	8
2026-05-14T02:58:46Z	13941,93467	9	10	8
2026-05-14T02:58:51Z	13954,93467	8	10	8
2026-05-14T02:58:56Z	13973,93467	9	10	8
